car_id,msrp,make,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,vehicle_size,vehicle_style,highway_mpg,city_mpg
1,46135,BMW,335.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19
2,40650,BMW,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19
3,36350,BMW,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20
4,29450,BMW,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18
5,34500,BMW,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18
6,31200,BMW,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,18
7,44100,BMW,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,26,17
8,39300,BMW,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20
9,36900,BMW,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,18
10,37200,BMW,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,27,18
11,39600,BMW,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20
12,31500,BMW,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,19
13,44400,BMW,300.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19
14,37200,BMW,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,28,19
15,31500,BMW,230.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,19
16,48250,BMW,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Convertible,25,18
17,43550,BMW,320.0,6.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,28,20
18,32850,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,35,23
19,38650,BMW,240.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34,23
20,48750,BMW,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,31,20
21,34850,BMW,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,35,23
22,40650,BMW,240.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,34,22
23,44150,BMW,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,31,20
24,32850,BMW,240.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,34,22
25,46150,BMW,320.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,30,20
26,50750,BMW,320.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,30,20
27,46450,BMW,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,31,21
28,49050,BMW,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,32,21
29,51050,BMW,335.0,6.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,32,21
30,44450,BMW,335.0,6.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,32,21
31,38950,BMW,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Convertible,34,23
32,33150,BMW,248.0,4.0,AUTOMATIC,rear wheel drive,2.0,Compact,Coupe,35,24
33,35150,BMW,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Coupe,33,24
34,40950,BMW,248.0,4.0,AUTOMATIC,all wheel drive,2.0,Compact,Convertible,33,23
35,2000,Nissan,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,21
36,2000,Nissan,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,29,21
37,2073,Nissan,140.0,4.0,MANUAL,front wheel drive,2.0,Compact,Coupe,28,20
38,3713,Nissan,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19
39,3520,Nissan,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19
40,3910,Nissan,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19
41,4182,Nissan,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19
42,4107,Nissan,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,26,19
43,4299,Nissan,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,20
44,4693,Nissan,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,20
45,4107,Nissan,155.0,4.0,MANUAL,rear wheel drive,2.0,Compact,Coupe,25,20
46,16020,Mazda,100.0,4.0,MANUAL,front wheel drive,4.0,Compact,4dr Hatchback,35,29
