car_id,model
1,1 Series M
2,1 Series
3,1 Series
4,1 Series
5,1 Series
6,1 Series
7,1 Series
8,1 Series
9,1 Series
10,1 Series
11,1 Series
12,1 Series
13,1 Series
14,1 Series
15,1 Series
16,1 Series
17,1 Series
18,2 Series
19,2 Series
20,2 Series
21,2 Series
22,2 Series
23,2 Series
24,2 Series
25,2 Series
26,2 Series
27,2 Series
28,2 Series
29,2 Series
30,2 Series
31,2 Series
32,2 Series
33,2 Series
34,2 Series
35,200SX
36,200SX
37,200SX
38,240SX
39,240SX
40,240SX
41,240SX
42,240SX
43,240SX
44,240SX
45,240SX
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,3 Series Gran Turismo
59,3 Series Gran Turismo
60,3 Series Gran Turismo
61,3 Series Gran Turismo
62,3 Series Gran Turismo
63,3 Series Gran Turismo
64,3 Series Gran Turismo
65,3 Series
66,3 Series
67,3 Series
68,3 Series
69,3 Series
70,3 Series
71,3 Series
72,3 Series
73,3 Series
74,3 Series
75,3 Series
76,3 Series
77,3 Series
78,3 Series
79,3 Series
80,3 Series
81,3 Series
82,3 Series
83,3 Series
84,3 Series
85,3 Series
86,3 Series
87,3 Series
88,3 Series
89,3 Series
90,3 Series
91,3 Series
92,3 Series
93,3 Series
94,3 Series
95,3 Series
96,3 Series
97,3 Series
98,3 Series
99,300ZX
100,300ZX
101,300ZX
102,300ZX
103,300ZX
104,300ZX
105,300ZX
106,300ZX
107,300ZX
108,300ZX
109,300ZX
110,300ZX
111,323
112,323
113,323
114,323
115,323
116,350Z
117,350Z
118,350Z
119,350Z
120,350Z
121,350Z
122,350Z
123,350Z
124,350Z
125,350Z
126,350Z
127,350Z
128,350Z
129,350Z
130,350Z
131,350Z
132,350Z
133,350Z
134,350Z
135,350Z
136,350Z
137,350Z
138,350Z
139,350Z
140,350Z
141,350Z
142,350Z
143,350Z
144,350Z
145,350Z
146,350Z
147,350Z
148,350Z
149,350Z
150,370Z
151,370Z
152,370Z
153,370Z
154,370Z
155,370Z
156,370Z
157,370Z
158,370Z
159,370Z
160,370Z
161,370Z
162,370Z
163,370Z
164,370Z
165,370Z
166,370Z
167,370Z
168,370Z
169,370Z
170,370Z
171,370Z
172,370Z
173,370Z
174,370Z
175,370Z
176,370Z
177,370Z
178,370Z
179,370Z
180,370Z
181,370Z
182,370Z
183,370Z
184,370Z
185,370Z
186,370Z
187,370Z
188,370Z
189,370Z
190,370Z
191,370Z
192,370Z
193,370Z
194,370Z
195,370Z
196,370Z
197,370Z
198,370Z
199,370Z
200,370Z
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,4 Series Gran Coupe
237,4 Series Gran Coupe
238,4 Series Gran Coupe
239,4 Series Gran Coupe
240,4 Series Gran Coupe
241,4 Series Gran Coupe
242,4 Series Gran Coupe
243,4 Series Gran Coupe
244,4 Series Gran Coupe
245,4 Series Gran Coupe
246,4 Series Gran Coupe
247,4 Series Gran Coupe
248,4 Series Gran Coupe
249,4 Series Gran Coupe
250,4 Series
251,4 Series
252,4 Series
253,4 Series
254,4 Series
255,4 Series
256,4 Series
257,4 Series
258,4 Series
259,4 Series
260,4 Series
261,4 Series
262,4 Series
263,4 Series
264,4 Series
265,4 Series
266,4 Series
267,4 Series
268,4 Series
269,4 Series
270,4 Series
271,4 Series
272,4 Series
273,4 Series
274,4 Series
275,4 Series
276,4 Series
277,4 Series
278,4 Series
279,5 Series Gran Turismo
280,5 Series Gran Turismo
281,5 Series Gran Turismo
282,5 Series Gran Turismo
283,5 Series Gran Turismo
284,5 Series Gran Turismo
285,5 Series Gran Turismo
286,5 Series Gran Turismo
287,5 Series Gran Turismo
288,5 Series Gran Turismo
289,5 Series
290,5 Series
291,5 Series
292,5 Series
293,5 Series
294,5 Series
295,5 Series
296,5 Series
297,5 Series
298,5 Series
299,5 Series
300,5 Series
301,5 Series
302,5 Series
303,5 Series
304,5 Series
305,6 Series Gran Coupe
306,6 Series Gran Coupe
307,6 Series Gran Coupe
308,6 Series Gran Coupe
309,6 Series Gran Coupe
